State_ID,State,Sex,Age Group,Education Level,Place of Birth,Year,Indicator,Count,Rate,filter1,filter2,filter1_nal
0,National,All sexes,40+,All levels,All places,2008,Births registered within a year,34959,85.84,age08,,age08
0,National,All sexes,All ages, High,All places,2014,Premature birth,42569,6.85,edu14,,edu14
0,National,All sexes,All ages, High,All places,2014,Total fertility rate,6883,1.11,edu14,,edu14
0,National,All sexes,All ages,  Middle,All places,2013,Births,825896,100,edu13,,edu13
0,National,All sexes,20-29,All levels,All places,2017,Congenital anomalies,87771,7.84,age17,,age17
0,National,All sexes, <15,All levels,All places,2011,Births registered within a year,42946,89.2,age11,,age11
0,National,All sexes,All ages,College >,All places,2016,Cesarean birth,233947,66.2,edu16,,edu16
0,National,All sexes,All ages,   None,All places,2008,Births registered within a year,56221,86.27,edu08,,edu08
0,National,All sexes,16-19,All levels,All places,2017,Congenital anomalies,28665,8.01,age17,,age17
0,National,Female,All ages,All levels,All places,2008,Births,967758,100,sex08,,sex08
0,National,All sexes,All ages,All levels,Health facility,2014,Births,2108434,100,place14,,place14
0,National,All sexes,All ages,   None,All places,2011,Premature birth,6873,7.49,edu11,,edu11
0,National,All sexes,40+,All levels,All places,2012,Total fertility rate,290,0.72,age12,,age12
0,National,All sexes,20-29,All levels,All places,2008,Low birthweight,76633,7.68,age08,,age08
0,National,All sexes,All ages,   None,All places,2014,Premature birth,4985,7.11,edu14,,edu14
0,National,All sexes, <15,All levels,All places,2012,Congenital anomalies,4743,9.75,age12,,age12
0,National,All sexes,16-19,All levels,All places,2013,Cesarean birth,85210,37.15,age13,,age13
0,National,All sexes,30-39,All levels,All places,2012,Low birthweight,31344,6.11,age12,,age12
0,National,All sexes,All ages, High,All places,2014,Births registered within a year,571612,91.99,edu14,,edu14
0,National,All sexes,All ages,  Elementary,All places,2016,Births registered within a year,254800,90.84,edu16,,edu16
0,National,All sexes,All ages,All levels,Home,2011,Low birthweight,4130,7.58,place11,,place11
0,National,Female,All ages,All levels,All places,2015,Congenital anomalies,82505,7.85,sex15,,sex15
0,National,All sexes,40+,All levels,All places,2010,Total fertility rate,221,0.79,age10,,age10
0,National,All sexes,20-29,All levels,All places,2013,Congenital anomalies,89937,8.09,age13,,age13
0,National,All sexes,All ages,All levels,All places,2017,Congenital anomalies,166500,8.06,time,,time
0,National,All sexes,All ages,  Elementary,All places,2013,Congenital anomalies,35981,9.29,edu13,,edu13
0,National,All sexes,All ages,All levels,Health facility,2012,Births,2132027,100,place12,,place12
0,National,All sexes,All ages,All levels,Home,2011,Total fertility rate,741,1.36,place11,,place11
0,National,All sexes,20-29,All levels,All places,2013,Total fertility rate,12616,1.13,age13,,age13
0,National,All sexes,All ages,  Elementary,All places,2012,Births registered within a year,374844,89.7,edu12,,edu12
0,National,All sexes,All ages,  Middle,All places,2010,Total fertility rate,11016,1.42,edu10,,edu10
0,National,All sexes,All ages,College >,All places,2011,Cesarean birth,189454,69.89,edu11,,edu11
0,National,All sexes,All ages,All levels,All places,2010,Births,2073111,87.88,time,,time
0,National,All sexes,All ages,College >,All places,2010,Births registered within a year,226417,90.46,edu10,,edu10
0,National,All sexes,All ages,   None,All places,2012,Cesarean birth,28133,34.1,edu12,,edu12
0,National,All sexes,All ages,  Middle,All places,2008,Total fertility rate,11258,1.55,edu08,,edu08
0,National,All sexes,All ages,All levels,Street,2016,Total fertility rate,6,2.64,place16,,place16
0,National,All sexes,40+,All levels,All places,2015,Congenital anomalies,4250,10.24,age15,,age15
0,National,Unknown,All ages,All levels,All places,2017,Premature birth,127,8.39,sex17,,sex17
0,National,All sexes,All ages,   None,All places,2011,Congenital anomalies,11009,12,edu11,,edu11
0,National,All sexes,All ages,All levels,All places,2008,Births,1978380,88.92,time,,time
0,National,All sexes,All ages,   None,All places,2016,Births registered within a year,71484,90.91,edu16,,edu16
0,National,All sexes,All ages,All levels,All places,2011,Births,2167060,100,time,,time
0,National,All sexes,All ages, High,All places,2009,Births registered within a year,435451,89.71,edu09,,edu09
0,National,All sexes,All ages,All levels,All places,2010,Low birthweight,108760,4.61,time,,time
0,National,All sexes, <15,All levels,All places,2011,Premature birth,3429,7.12,age11,,age11
0,National,Male,All ages,All levels,All places,2010,Cesarean birth,481025,45.48,sex10,,sex10
0,National,All sexes,All ages,All levels,All places,2008,Cesarean birth,869018,39.06,time,,time
0,National,All sexes,All ages, High,All places,2015,Births registered within a year,562292,92.17,edu15,,edu15
0,National,Female,All ages,All levels,All places,2008,Births registered within a year,855381,88.39,sex08,,sex08
0,National,All sexes,All ages,All levels,Unknown,2017,Cesarean birth,2424,40.83,place17,,place17
0,National,All sexes, <15,All levels,All places,2009,Births,10559,100,age09,,age09
0,National,All sexes,All ages, High,All places,2008,Births,442886,100,edu08,,edu08
0,National,All sexes,All ages, High,All places,2009,Congenital anomalies,49973,10.29,edu09,,edu09
0,National,All sexes,30-39,All levels,All places,2014,Congenital anomalies,44808,8.74,age14,,age14
0,National,All sexes,All ages,  Middle,All places,2017,Congenital anomalies,61342,7.91,edu17,,edu17
0,National,All sexes,30-39,All levels,All places,2010,Congenital anomalies,48635,11.18,age10,,age10
0,National,All sexes,40+,All levels,All places,2016,Total fertility rate,665,1.63,age16,,age16
0,National,All sexes,All ages,College >,All places,2011,Congenital anomalies,25597,9.44,edu11,,edu11
0,National,All sexes, <15,All levels,All places,2012,Low birthweight,3170,6.52,age12,,age12
0,National,All sexes,40+,All levels,All places,2017,Premature birth,5290,13.01,age17,,age17
0,National,All sexes,All ages,All levels,Home,2013,Low birthweight,4031,8.02,place13,,place13
0,National,All sexes,All ages,All levels,Health facility,2014,Total fertility rate,21344,1.01,place14,,place14
0,National,Female,All ages,All levels,All places,2012,Births registered within a year,982619,91.07,sex12,,sex12
0,National,All sexes,16-19,All levels,All places,2013,Births,229364,100,age13,,age13
0,National,All sexes,All ages,All levels,Unknown,2010,Births registered within a year,15619,86.69,place10,,place10
0,National,Female,All ages,All levels,All places,2010,Births registered within a year,905676,89.43,sex10,,sex10
0,National,All sexes, <15,All levels,All places,2016,Total fertility rate,694,1.76,age16,,age16
0,National,All sexes,All ages,All levels,All places,2008,Low birthweight,160942,7.23,time,,time
0,National,All sexes,All ages,All levels,All places,2008,Congenital anomalies,235632,10.59,time,,time
0,National,All sexes,All ages,All levels,All places,2008,Births registered within a year,1742748,78.33,time,,time
0,National,Female,All ages,All levels,All places,2008,Total fertility rate,12204,1.26,sex08,,sex08
0,National,All sexes,40+,All levels,All places,2009,Total fertility rate,401,0.94,age09,,age09
0,National,Female,All ages,All levels,All places,2008,Low birthweight,83804,8.66,sex08,,sex08
