Indicator;Sector;Service;Vehicle category;Scope;Geography;Fuel;Value;Time;Source;Primary source;Observation value;Unit;Metadata
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";1;1990;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";2;1991;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";3;1992;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";4;1993;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";5;1994;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";6;1995;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";7;1996;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";8;1997;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";9;1998;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";10;1999;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";11;2000;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";12;2001;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";13;2002;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";14;2003;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";15;2004;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";16;2005;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
"Cumulative vehicle registration";"Road";"Passenger";"L1/L3";"national";"Afghanistan";"all";17;2006;"ATO";"Ministry of Transport and Civil Aviation and Private Sector";" none";"number of vehicles";"Original ATO Code: TAS-VEP-015- We report cumulative number of vehicle registrations i.e. two wheelers on road. Two wheelers i.e. a two-wheeler motor vehicle not exceeding 400 kg of unladen weight, including vehicles with a cylinder capacity of 50 cc or above. It includes mopeds, motorcycles, scooters. We exclude electric two wheelers in this statistics."
