Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Table Filter,Ref_group,National Reference,Lower Bound,Upper Bound
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,18-29,2015,Estimated,71.9,,viz_age,,Total,6.272,70.8,73.1
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,30-49,2015,Estimated,77.8,,viz_age,,Total,6.272,77,78.6
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,50-69,2015,Estimated,82.8,,viz_age,,Total,6.272,81.9,83.7
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age, 18-69,2015,Estimated,77.1,,viz_age,,Total,6.272,76.5,77.7
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,,Rural,12.11,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,,Rural,12.11,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,,Rural,12.11,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,,Rural,12.11,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,,Urban,2.552,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,,Urban,2.552,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,,Urban,2.552,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,,Urban,2.552,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Area,Rural,2015,Estimated,77.5,,viz_area,,Total,6.272,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Area,Urban,2015,Estimated,76.4,,viz_area,,Total,6.272,76.6,78.3
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex,Men,2015,Estimated,79.4,,viz_sex,table_total,Total,6.272,75.6,77.3
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex,Women,2015,Estimated,74.8,,viz_sex,table_total,Total,6.272,78.5,80.3
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Age,Men 18-29,2015,Estimated,74.5,,viz_men_age,,Men,9.949,74.1,75.6
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Age,Men 30-49,2015,Estimated,80.4,,viz_men_age,,Men,9.949,72.9,76
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Age,Men 50-69,2015,Estimated,84.6,,viz_men_age,,Men,9.949,79.2,81.5
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Age,Men  18-69,2015,Estimated,79.4,,viz_men_age,,Men,9.949,83.3,86
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Age,Women 18-29,2015,Estimated,69.3,,viz_women_age,,Women,9.414,78.5,80.3
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Age,Women 30-49,2015,Estimated,75.2,,viz_women_age,,Women,9.414,68,70.6
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Age,Women 50-69,2015,Estimated,81.2,,viz_women_age,,Women,9.414,74.3,76.1
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Age,Women  18-69,2015,Estimated,74.8,,viz_women_age,,Women,9.414,80.1,82.4
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,,Men,9.949,74.1,75.6
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,,Women,9.414,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Area,Urban Men,2015,Estimated,,,viz_sex_area,,Men,9.949,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Sex by Area,Urban Women,2015,Estimated,,,viz_sex_area,,Women,9.414,,
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Total,Total,2015,Estimated,77.1,,viz_total,table_total,,,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age,18-29,2015,Estimated,112.1,,viz_age,,Total,2.841,76.5,77.7
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age,30-49,2015,Estimated,119.4,,viz_age,,Total,2.841,110.7,113.6
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age,50-69,2015,Estimated,131.4,,viz_age,,Total,2.841,118.2,120.6
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age, 18-69,2015,Estimated,119.9,,viz_age,,Total,2.841,129.7,133.1
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,,Rural,8.135,119,120.8
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,,Rural,8.135,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,,Rural,8.135,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,,Rural,8.135,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,,Urban,12.93,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,,Urban,12.93,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,,Urban,12.93,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,,Urban,12.93,,
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Area,Rural,2015,Estimated,120.8,,viz_area,,Total,2.841,119.5,122
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Area,Urban,2015,Estimated,118.4,,viz_area,,Total,2.841,117.1,119.6
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex,Men,2015,Estimated,124.4,,viz_sex,table_total,Total,2.841,123.1,125.7
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex,Women,2015,Estimated,115.5,,viz_sex,table_total,Total,2.841,114.4,116.6
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Age,Men 18-29,2015,Estimated,118,,viz_men_age,,Men,10.19,116,120
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Age,Men 30-49,2015,Estimated,124.2,,viz_men_age,,Men,10.19,122.5,125.9
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Age,Men 50-69,2015,Estimated,134.3,,viz_men_age,,Men,10.19,131.7,137
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Age,Men  18-69,2015,Estimated,124.4,,viz_men_age,,Men,10.19,123.1,125.7
"Mean systolic blood pressure - SBP (mmHg), including currently on medication for raised BP",Mean SBP,Sex by Age,Women 18-29,2015,Estimated,106.1,,viz_women_age,,Women,11.18,104.6,107.6
